Fam PID1 PID2 TheoKinship
CO10 6 5 0.25
CO10 7 5 0.25
CO10 11 5 0.125
CO10 8 5 0.25
CO10 9 5 0.25
CO10 25 5 0.0625
CO10 16 5 0.125
CO10 39 5 0.125
CO10 36 5 0.0625
CO10 14 5 0.125
CO10 34 5 0.0625
CO10 27 5 0.0625
CO10 21 5 0.125
CO10 12 5 0.125
CO10 15 5 0.125
CO10 26 5 0.0625
CO10 23 5 0.125
CO10 38 5 0.0625
CO10 16 6 0.125
CO10 35 6 0.125
CO10 19 6 0.125
CO10 8 6 0.25
CO10 14 6 0.125
CO10 21 6 0.125
CO10 11 6 0.125
CO10 18 6 0.125
CO10 7 6 0.25
CO10 38 6 0.0625
CO10 23 6 0.125
CO10 39 6 0.125
CO10 36 6 0.0625
CO10 26 6 0.0625
CO10 9 6 0.25
CO10 27 6 0.0625
CO10 25 6 0.0625
CO10 15 6 0.125
CO10 12 6 0.125
CO10 34 6 0.0625
CO10 18 7 0.125
CO10 14 7 0.125
CO10 19 7 0.125
CO10 16 7 0.125
CO10 27 7 0.0625
CO10 39 7 0.125
CO10 23 7 0.125
CO10 21 7 0.125
CO10 8 7 0.25
CO10 15 7 0.125
CO10 35 7 0.125
CO10 9 7 0.25
CO10 25 7 0.0625
CO10 11 7 0.125
CO10 36 7 0.0625
CO10 12 7 0.125
CO10 26 7 0.0625
CO10 38 7 0.0625
CO10 34 7 0.0625
CO10 23 8 0.125
CO10 35 8 0.125
CO10 25 8 0.0625
CO10 27 8 0.0625
CO10 21 8 0.125
CO10 9 8 0.25
CO10 11 8 0.125
CO10 16 8 0.125
CO10 19 8 0.125
CO10 26 8 0.0625
CO10 39 8 0.125
CO10 36 8 0.0625
CO10 12 8 0.125
CO10 15 8 0.125
CO10 14 8 0.125
CO10 34 8 0.0625
CO10 18 8 0.125
CO10 38 8 0.0625
CO10 21 9 0.125
CO10 14 9 0.125
CO10 23 9 0.125
CO10 39 9 0.125
CO10 11 9 0.125
CO10 26 9 0.0625
CO10 25 9 0.0625
CO10 16 9 0.125
CO10 38 9 0.0625
CO10 35 9 0.125
CO10 18 9 0.125
CO10 36 9 0.0625
CO10 27 9 0.0625
CO10 15 9 0.125
CO10 19 9 0.125
CO10 12 9 0.125
CO10 34 9 0.0625
CO10 14 21 0.0625
CO10 39 21 0.0625
CO10 26 21 0.125
CO10 18 21 0.0625
CO10 27 21 0.125
CO10 25 21 0.125
CO10 15 21 0.0625
CO10 12 21 0.0625
CO10 35 21 0.25
CO10 16 21 0.0625
CO10 19 21 0.0625
CO10 11 21 0.0625
CO10 23 21 0.25
CO10 25 34 0.03125
CO10 18 34 0.03125
CO10 27 34 0.03125
CO10 38 34 0.25
CO10 39 34 0.03125
CO10 36 34 0.25
CO10 35 34 0.0625
CO10 12 34 0.03125
CO10 26 34 0.03125
CO10 15 34 0.03125
CO10 14 34 0.03125
CO10 11 34 0.03125
CO10 16 34 0.03125
CO10 23 34 0.0625
CO10 19 34 0.03125
CO10 38 36 0.25
CO10 15 36 0.03125
CO10 12 36 0.03125
CO10 26 36 0.03125
CO10 35 36 0.0625
CO10 18 36 0.03125
CO10 11 36 0.03125
CO10 27 36 0.03125
CO10 19 36 0.03125
CO10 14 36 0.03125
CO10 16 36 0.03125
CO10 25 36 0.03125
CO10 23 36 0.0625
CO10 39 36 0.03125
CO10 35 38 0.0625
CO10 18 38 0.03125
CO10 12 38 0.03125
CO10 26 38 0.03125
CO10 15 38 0.03125
CO10 11 38 0.03125
CO10 19 38 0.03125
CO10 27 38 0.03125
CO10 25 38 0.03125
CO10 14 38 0.03125
CO10 39 38 0.03125
CO10 23 38 0.0625
CO10 16 38 0.03125
CO10 25 11 0.03125
CO10 12 11 0.25
CO10 35 11 0.0625
CO10 23 11 0.0625
CO10 16 11 0.0625
CO10 15 11 0.0625
CO10 39 11 0.25
CO10 19 11 0.0625
CO10 18 11 0.0625
CO10 27 11 0.03125
CO10 14 11 0.0625
CO10 26 11 0.03125
CO10 15 12 0.0625
CO10 19 12 0.0625
CO10 27 12 0.03125
CO10 25 12 0.03125
CO10 39 12 0.25
CO10 16 12 0.0625
CO10 18 12 0.0625
CO10 14 12 0.0625
CO10 35 12 0.0625
CO10 26 12 0.03125
CO10 23 12 0.0625
CO10 16 39 0.0625
CO10 15 39 0.0625
CO10 25 39 0.03125
CO10 26 39 0.03125
CO10 35 39 0.0625
CO10 18 39 0.0625
CO10 23 39 0.0625
CO10 14 39 0.0625
CO10 27 39 0.03125
CO10 19 39 0.0625
CO10 18 14 0.0625
CO10 16 14 0.25
CO10 27 14 0.03125
CO10 25 14 0.03125
CO10 35 14 0.0625
CO10 26 14 0.03125
CO10 23 14 0.0625
CO10 15 14 0.25
CO10 19 14 0.0625
CO10 27 15 0.03125
CO10 18 15 0.0625
CO10 25 15 0.03125
CO10 23 15 0.0625
CO10 16 15 0.25
CO10 35 15 0.0625
CO10 26 15 0.03125
CO10 19 15 0.0625
CO10 18 16 0.0625
CO10 27 16 0.03125
CO10 35 16 0.0625
CO10 25 16 0.03125
CO10 23 16 0.0625
CO10 19 16 0.0625
CO10 26 16 0.03125
CO10 35 18 0.0625
CO10 19 18 0.25
CO10 25 18 0.03125
CO10 27 18 0.03125
CO10 26 18 0.03125
CO10 23 18 0.0625
CO10 35 19 0.0625
CO10 27 19 0.03125
CO10 25 19 0.03125
CO10 23 19 0.0625
CO10 26 19 0.03125
CO10 25 23 0.25
CO10 35 23 0.25
CO10 26 23 0.25
CO10 27 23 0.25
CO10 25 35 0.125
CO10 26 35 0.125
CO10 27 35 0.125
CO10 26 25 0.25
CO10 27 25 0.25
CO10 27 26 0.25
CO13 3 2 0.25
CO13 4 2 0.25
CO13 24 2 0.25
CO13 6 2 0.25
CO13 7 2 0.25
CO13 5 2 0.25
CO13 14 8 0.25
CO13 4 8 0.125
CO13 11 8 0.25
CO13 23 8 0.125
CO13 10 8 0.25
CO13 13 8 0.25
CO13 24 8 0.125
CO13 1 8 0.25
CO13 3 8 0.125
CO13 21 8 0.125
CO13 5 8 0.125
CO13 12 8 0.25
CO13 6 8 0.125
CO13 7 8 0.125
CO13 9 15 0.25
CO13 7 15 0.0625
CO13 17 15 0.25
CO13 4 15 0.0625
CO13 11 15 0.125
CO13 18 15 0.25
CO13 24 15 0.0625
CO13 1 15 0.125
CO13 6 15 0.0625
CO13 19 15 0.25
CO13 21 15 0.0625
CO13 13 15 0.125
CO13 14 15 0.125
CO13 12 15 0.125
CO13 23 15 0.0625
CO13 5 15 0.0625
CO13 3 15 0.0625
CO13 10 15 0.125
CO13 17 16 0.25
CO13 21 16 0.0625
CO13 4 16 0.0625
CO13 7 16 0.0625
CO13 9 16 0.25
CO13 18 16 0.25
CO13 1 16 0.125
CO13 14 16 0.125
CO13 3 16 0.0625
CO13 12 16 0.125
CO13 19 16 0.25
CO13 13 16 0.125
CO13 11 16 0.125
CO13 23 16 0.0625
CO13 5 16 0.0625
CO13 24 16 0.0625
CO13 6 16 0.0625
CO13 10 16 0.125
CO13 21 20 0.25
CO13 23 22 0.25
CO13 21 9 0.125
CO13 17 9 0.25
CO13 13 9 0.25
CO13 3 9 0.125
CO13 12 9 0.25
CO13 6 9 0.125
CO13 10 9 0.25
CO13 19 9 0.25
CO13 7 9 0.125
CO13 11 9 0.25
CO13 23 9 0.125
CO13 1 9 0.25
CO13 24 9 0.125
CO13 5 9 0.125
CO13 18 9 0.25
CO13 4 9 0.125
CO13 14 9 0.25
CO13 12 17 0.125
CO13 6 17 0.0625
CO13 7 17 0.0625
CO13 21 17 0.0625
CO13 13 17 0.125
CO13 18 17 0.25
CO13 3 17 0.0625
CO13 19 17 0.25
CO13 1 17 0.125
CO13 14 17 0.125
CO13 10 17 0.125
CO13 5 17 0.0625
CO13 11 17 0.125
CO13 24 17 0.0625
CO13 4 17 0.0625
CO13 23 17 0.0625
CO13 21 18 0.0625
CO13 5 18 0.0625
CO13 7 18 0.0625
CO13 14 18 0.125
CO13 12 18 0.125
CO13 1 18 0.125
CO13 23 18 0.0625
CO13 13 18 0.125
CO13 6 18 0.0625
CO13 19 18 0.25
CO13 3 18 0.0625
CO13 4 18 0.0625
CO13 10 18 0.125
CO13 11 18 0.125
CO13 24 18 0.0625
CO13 5 19 0.0625
CO13 12 19 0.125
CO13 6 19 0.0625
CO13 10 19 0.125
CO13 14 19 0.125
CO13 1 19 0.125
CO13 4 19 0.0625
CO13 13 19 0.125
CO13 24 19 0.0625
CO13 3 19 0.0625
CO13 21 19 0.0625
CO13 11 19 0.125
CO13 7 19 0.0625
CO13 23 19 0.0625
CO13 10 1 0.25
CO13 5 1 0.25
CO13 21 1 0.125
CO13 4 1 0.25
CO13 12 1 0.25
CO13 7 1 0.25
CO13 13 1 0.25
CO13 24 1 0.25
CO13 6 1 0.25
CO13 23 1 0.125
CO13 11 1 0.25
CO13 14 1 0.25
CO13 3 1 0.25
CO13 6 10 0.125
CO13 21 10 0.125
CO13 13 10 0.25
CO13 12 10 0.25
CO13 24 10 0.125
CO13 5 10 0.125
CO13 4 10 0.125
CO13 14 10 0.25
CO13 3 10 0.125
CO13 23 10 0.125
CO13 7 10 0.125
CO13 11 10 0.25
CO13 5 11 0.125
CO13 4 11 0.125
CO13 12 11 0.25
CO13 21 11 0.25
CO13 24 11 0.125
CO13 13 11 0.25
CO13 14 11 0.25
CO13 7 11 0.125
CO13 23 11 0.125
CO13 6 11 0.125
CO13 3 11 0.125
CO13 13 12 0.25
CO13 14 12 0.25
CO13 4 12 0.125
CO13 21 12 0.125
CO13 5 12 0.125
CO13 24 12 0.125
CO13 23 12 0.25
CO13 6 12 0.125
CO13 7 12 0.125
CO13 3 12 0.125
CO13 4 13 0.125
CO13 24 13 0.125
CO13 5 13 0.125
CO13 21 13 0.125
CO13 14 13 0.25
CO13 7 13 0.125
CO13 23 13 0.125
CO13 6 13 0.125
CO13 3 13 0.125
CO13 6 14 0.125
CO13 24 14 0.125
CO13 5 14 0.125
CO13 7 14 0.125
CO13 3 14 0.125
CO13 4 14 0.125
CO13 21 14 0.125
CO13 23 14 0.125
CO13 21 3 0.0625
CO13 7 3 0.25
CO13 4 3 0.25
CO13 6 3 0.25
CO13 5 3 0.25
CO13 24 3 0.25
CO13 23 3 0.0625
CO13 5 4 0.25
CO13 21 4 0.0625
CO13 7 4 0.25
CO13 24 4 0.25
CO13 6 4 0.25
CO13 23 4 0.0625
CO13 21 5 0.0625
